:Mots:Transcription Phonétique:Genre Grammatical:Paires Minimales
1:('aède', 'alde'):('aɛd', 'ald'):('Nom', 'Nom'):('ɛ', 'l')
42:('aï', 'riz'):('ai', 'ʁi'):('Nom', 'Nom'):('a', 'ʁ')
43:('aï', 'si'):('ai', 'si'):('Nom', 'Nom'):('a', 's')
44:('aï', 'si'):('ai', 'si'):('Nom', 'Adverbe'):('a', 's')
45:('aï', 'tee'):('ai', 'ti'):('Nom', 'Nom'):('a', 't')
46:('aï', 'vit'):('ai', 'vi'):('Nom', 'Nom'):('a', 'v')
47:('aïnou', 'minou'):('ainu', 'minu'):('Nom', 'Nom'):('a', 'm')
48:('açon', 'acens'):('asɔ̃', 'asɑ̃'):('Nom', 'Nom'):('ɔ̃', 'ɑ̃')
49:('açon', 'acon'):('asɔ̃', 'akɔ̃'):('Nom', 'Nom'):('s', 'k')
50:('açon', 'adon'):('asɔ̃', 'adɔ̃'):('Nom', 'Nom'):('s', 'd')
51:('açon', 'ajonc'):('asɔ̃', 'aʒɔ̃'):('Nom', 'Nom'):('s', 'ʒ')
52:('açon', 'amont'):('asɔ̃', 'amɔ̃'):('Nom', 'Nom'):('s', 'm')
53:('açon', 'aspe'):('asɔ̃', 'asp'):('Nom', 'Nom'):('ɔ̃', 'p')
54:('açon', 'asque'):('asɔ̃', 'ask'):('Nom', 'Nom'):('ɔ̃', 'k')
55:('açon', 'assaut'):('asɔ̃', 'aso'):('Nom', 'Nom'):('ɔ̃', 'o')
56:('açon', 'assez'):('asɔ̃', 'ase'):('Nom', 'Adverbe'):('ɔ̃', 'e')
57:('açon', 'asthme'):('asɔ̃', 'asm'):('Nom', 'Nom'):('ɔ̃', 'm')
58:('açon', 'hast'):('asɔ̃', 'ast'):('Nom', 'Nom'):('ɔ̃', 't')
59:('açon', 'hayon'):('asɔ̃', 'ajɔ̃'):('Nom', 'Nom'):('s', 'j')
60:('açon', 'housson'):('asɔ̃', 'usɔ̃'):('Nom', 'Nom'):('a', 'u')
61:('açon', 'soc'):('asɔ̃', 'sɔk'):('Nom', 'Nom'):('ɔ̃', 'k')
62:('açon', 'socque'):('asɔ̃', 'sɔk'):('Nom', 'Nom'):('ɔ̃', 'k')
63:('açon', 'sol'):('asɔ̃', 'sɔl'):('Nom', 'Nom'):('ɔ̃', 'l')
64:('açon', 'somme'):('asɔ̃', 'sɔm'):('Nom', 'Nom'):('ɔ̃', 'm')
65:('açon', 'sore'):('asɔ̃', 'sɔʁ'):('Nom', 'Nom'):('ɔ̃', 'ʁ')
66:('açon', 'sort'):('asɔ̃', 'sɔʁ'):('Nom', 'Nom'):('ɔ̃', 'ʁ')
67:('aérer', 'aéro'):('aeʁe', 'aeʁo'):('Verbe infinitif', 'Nom'):('e', 'o')
68:('aérer', 'gérer'):('aeʁe', 'ʒeʁe'):('Verbe infinitif', 'Verbe infinitif'):('a', 'ʒ')
69:('aérer', 'séré'):('aeʁe', 'seʁe'):('Verbe infinitif', 'Nom'):('a', 's')
70:('aérium', 'cérium'):('aeʁjɔm', 'seʁjɔm'):('Nom', 'Nom'):('a', 's')
71:('aérofrein', 'aérotrain'):('aeʁɔfʁɛ̃', 'aeʁɔtʁɛ̃'):('Nom', 'Nom'):('f', 't')
72:('aérogramme', 'aérographe'):('aeʁɔgʁam', 'aeʁɔgʁaf'):('Nom', 'Nom'):('m', 'f')
73:('aérogramme', 'hiérogramme'):('aeʁɔgʁam', 'jeʁɔgʁam'):('Nom', 'Nom'):('a', 'j')
74:('aéromodélisme', 'aéromodéliste'):('aeʁomodelism', 'aeʁomodelist'):('Nom', 'Nom'):('m', 't')
75:('aéro', 'accroc'):('aeʁo', 'akʁo'):('Nom', 'Nom'):('e', 'k')
76:('aéro', 'accro'):('aeʁo', 'akʁo'):('Nom', 'Nom'):('e', 'k')
77:('aéro', 'bérot'):('aeʁo', 'beʁo'):('Nom', 'Nom'):('a', 'b')
78:('aéro', 'lérot'):('aeʁo', 'leʁo'):('Nom', 'Nom'):('a', 'l')
79:('aéro', 'pérot'):('aeʁo', 'peʁo'):('Nom', 'Nom'):('a', 'p')
80:('aéro', 'zéro'):('aeʁo', 'zeʁo'):('Nom', 'Nom'):('a', 'z')
81:('aérophone', 'aérophore'):('aeʁɔfɔn', 'aeʁɔfɔʁ'):('Nom', 'Nom'):('n', 'ʁ')
82:('aérophore', 'aéroport'):('aeʁɔfɔʁ', 'aeʁɔpɔʁ'):('Nom', 'Nom'):('f', 'p')
83:('êta', 'aître'):('ɛta', 'ɛtʁ'):('Nom', 'Nom'):('a', 'ʁ')
84:('êta', 'être'):('ɛta', 'ɛtʁ'):('Nom', 'Nom'):('a', 'ʁ')
85:('êta', 'être'):('ɛta', 'ɛtʁ'):('Nom', 'Verbe infinitif'):('a', 'ʁ')
86:('êta', 'aitre'):('ɛta', 'ɛtʁ'):('Nom', 'Nom'):('a', 'ʁ')
87:('êta', 'état'):('ɛta', 'eta'):('Nom', 'Nom'):('ɛ', 'e')
88:('êta', 'hêtre'):('ɛta', 'ɛtʁ'):('Nom', 'Nom'):('a', 'ʁ')
89:('aître', 'aigre'):('ɛtʁ', 'ɛgʁ'):('Nom', 'Nom'):('t', 'g')
90:('aître', 'antre'):('ɛtʁ', 'ɑ̃tʁ'):('Nom', 'Nom'):('ɛ', 'ɑ̃')
91:('aître', 'âtre'):('ɛtʁ', 'ɑtʁ'):('Nom', 'Nom'):('ɛ', 'ɑ')
92:('aître', 'outre'):('ɛtʁ', 'utʁ'):('Nom', 'Adverbe'):('ɛ', 'u')
93:('être', 'aigre'):('ɛtʁ', 'ɛgʁ'):('Nom', 'Nom'):('t', 'g')
94:('être', 'antre'):('ɛtʁ', 'ɑ̃tʁ'):('Nom', 'Nom'):('ɛ', 'ɑ̃')
95:('être', 'âtre'):('ɛtʁ', 'ɑtʁ'):('Nom', 'Nom'):('ɛ', 'ɑ')
96:('être', 'outre'):('ɛtʁ', 'utʁ'):('Nom', 'Adverbe'):('ɛ', 'u')
97:('être', 'aigre'):('ɛtʁ', 'ɛgʁ'):('Verbe infinitif', 'Nom'):('t', 'g')
98:('être', 'antre'):('ɛtʁ', 'ɑ̃tʁ'):('Verbe infinitif', 'Nom'):('ɛ', 'ɑ̃')
99:('être', 'âtre'):('ɛtʁ', 'ɑtʁ'):('Verbe infinitif', 'Nom'):('ɛ', 'ɑ')
100:('être', 'outre'):('ɛtʁ', 'utʁ'):('Verbe infinitif', 'Adverbe'):('ɛ', 'u')
101:('abêtir', 'aboutir'):('abɛtiʁ', 'abutiʁ'):('Verbe infinitif', 'Verbe infinitif'):('ɛ', 'u')
102:('abêtissement', 'aboutissement'):('abɛtismɑ̃', 'abutismɑ̃'):('Nom', 'Nom'):('ɛ', 'u')
103:('abaca', 'ataca'):('abaka', 'ataka'):('Nom', 'Nom'):('b', 't')
104:('abader', 'abonder'):('abade', 'abɔ̃de'):('Verbe infinitif', 'Verbe infinitif'):('a', 'ɔ̃')
105:('abaisser', 'abecquer'):('abɛse', 'abɛke'):('Verbe infinitif', 'Verbe infinitif'):('s', 'k')
106:('abaisser', 'abeiller'):('abɛse', 'abɛje'):('Verbe infinitif', 'Nom'):('s', 'j')
107:('abaisser', 'abisser'):('abɛse', 'abise'):('Verbe infinitif', 'Verbe infinitif'):('ɛ', 'i')
108:('abîme', 'abysse'):('abim', 'abis'):('Nom', 'Nom'):('m', 's')
109:('abîmer', 'abisser'):('abime', 'abise'):('Verbe infinitif', 'Verbe infinitif'):('m', 's')
110:('abîmer', 'anime'):('abime', 'anime'):('Verbe infinitif', 'Nom'):('b', 'n')
111:('abîmer', 'animer'):('abime', 'anime'):('Verbe infinitif', 'Verbe infinitif'):('b', 'n')
112:('abîmer', 'arrimer'):('abime', 'aʁime'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʁ')
113:('abîmer', 'habiller'):('abime', 'abije'):('Verbe infinitif', 'Verbe infinitif'):('m', 'j')
114:('abîmer', 'habiter'):('abime', 'abite'):('Verbe infinitif', 'Verbe infinitif'):('m', 't')
115:('aba', 'ébat'):('aba', 'eba'):('Nom', 'Nom'):('a', 'e')
116:('aba', 'abbé'):('aba', 'abe'):('Nom', 'Nom'):('a', 'e')
117:('aba', 'able'):('aba', 'abl'):('Nom', 'Nom'):('a', 'l')
118:('aba', 'abot'):('aba', 'abo'):('Nom', 'Nom'):('a', 'o')
119:('aba', 'about'):('aba', 'abu'):('Nom', 'Nom'):('a', 'u')
120:('aba', 'abus'):('aba', 'aby'):('Nom', 'Nom'):('a', 'y')
121:('aba', 'achat'):('aba', 'aʃa'):('Nom', 'Nom'):('b', 'ʃ')
122:('aba', 'aga'):('aba', 'aga'):('Nom', 'Nom'):('b', 'g')
123:('aba', 'agha'):('aba', 'aga'):('Nom', 'Nom'):('b', 'g')
124:('aba', 'ala'):('aba', 'ala'):('Nom', 'Nom'):('b', 'l')
125:('aba', 'amas'):('aba', 'ama'):('Nom', 'Nom'):('b', 'm')
126:('aba', 'amma'):('aba', 'ama'):('Nom', 'Nom'):('b', 'm')
127:('aba', 'ana'):('aba', 'ana'):('Nom', 'Nom'):('b', 'n')
128:('aba', 'ara'):('aba', 'aʁa'):('Nom', 'Nom'):('b', 'ʁ')
129:('aba', 'aya'):('aba', 'aja'):('Nom', 'Nom'):('b', 'j')
130:('aba', 'habit'):('aba', 'abi'):('Nom', 'Nom'):('a', 'i')
131:('aba', 'haka'):('aba', 'aka'):('Nom', 'Nom'):('b', 'k')
132:('aba', 'hakka'):('aba', 'aka'):('Nom', 'Nom'):('b', 'k')
133:('aba', 'haras'):('aba', 'aʁa'):('Nom', 'Nom'):('b', 'ʁ')
134:('abandon', 'amandon'):('abɑ̃dɔ̃', 'amɑ̃dɔ̃'):('Nom', 'Nom'):('b', 'm')
135:('ébéner', 'hébéter'):('ebene', 'ebete'):('Verbe infinitif', 'Verbe infinitif'):('n', 't')
136:('abaque', 'abar'):('abak', 'abaʁ'):('Nom', 'Nom'):('k', 'ʁ')
137:('abaque', 'arack'):('abak', 'aʁak'):('Nom', 'Nom'):('b', 'ʁ')
138:('abaque', 'arac'):('abak', 'aʁak'):('Nom', 'Nom'):('b', 'ʁ')
139:('abaque', 'hamac'):('abak', 'amak'):('Nom', 'Nom'):('b', 'm')
140:('abaque', 'ubac'):('abak', 'ybak'):('Nom', 'Nom'):('a', 'y')
141:('abar', 'aber'):('abaʁ', 'abɛʁ'):('Nom', 'Nom'):('a', 'ɛ')
142:('abar', 'abord'):('abaʁ', 'abɔʁ'):('Nom', 'Nom'):('a', 'ɔ')
143:('abar', 'acare'):('abaʁ', 'akaʁ'):('Nom', 'Nom'):('b', 'k')
144:('abar', 'achard'):('abaʁ', 'aʃaʁ'):('Nom', 'Nom'):('b', 'ʃ')
145:('abar', 'anar'):('abaʁ', 'anaʁ'):('Nom', 'Nom'):('b', 'n')
146:('abar', 'avare'):('abaʁ', 'avaʁ'):('Nom', 'Nom'):('b', 'v')
147:('abar', 'hasard'):('abaʁ', 'azaʁ'):('Nom', 'Nom'):('b', 'z')
148:('abar', 'hazard'):('abaʁ', 'azaʁ'):('Nom', 'Nom'):('b', 'z')
149:('abatant', 'abattis'):('abatɑ̃', 'abati'):('Nom', 'Nom'):('ɑ̃', 'i')
150:('abatant', 'abattre'):('abatɑ̃', 'abatʁ'):('Nom', 'Verbe infinitif'):('ɑ̃', 'ʁ')
151:('abatant', 'abbattre'):('abatɑ̃', 'abatʁ'):('Nom', 'Verbe infinitif'):('ɑ̃', 'ʁ')
152:('abatant', 'habitant'):('abatɑ̃', 'abitɑ̃'):('Nom', 'Nom'):('a', 'i')
153:('abat', 'ébat'):('aba', 'eba'):('Nom', 'Nom'):('a', 'e')
154:('abat', 'abbé'):('aba', 'abe'):('Nom', 'Nom'):('a', 'e')
155:('abat', 'able'):('aba', 'abl'):('Nom', 'Nom'):('a', 'l')
156:('abat', 'abot'):('aba', 'abo'):('Nom', 'Nom'):('a', 'o')
157:('abat', 'about'):('aba', 'abu'):('Nom', 'Nom'):('a', 'u')
158:('abat', 'abus'):('aba', 'aby'):('Nom', 'Nom'):('a', 'y')
159:('abat', 'achat'):('aba', 'aʃa'):('Nom', 'Nom'):('b', 'ʃ')
160:('abat', 'aga'):('aba', 'aga'):('Nom', 'Nom'):('b', 'g')
161:('abat', 'agha'):('aba', 'aga'):('Nom', 'Nom'):('b', 'g')
162:('abat', 'ala'):('aba', 'ala'):('Nom', 'Nom'):('b', 'l')
163:('abat', 'amas'):('aba', 'ama'):('Nom', 'Nom'):('b', 'm')
164:('abat', 'amma'):('aba', 'ama'):('Nom', 'Nom'):('b', 'm')
165:('abat', 'ana'):('aba', 'ana'):('Nom', 'Nom'):('b', 'n')
166:('abat', 'ara'):('aba', 'aʁa'):('Nom', 'Nom'):('b', 'ʁ')
167:('abat', 'aya'):('aba', 'aja'):('Nom', 'Nom'):('b', 'j')
168:('abat', 'habit'):('aba', 'abi'):('Nom', 'Nom'):('a', 'i')
169:('abat', 'haka'):('aba', 'aka'):('Nom', 'Nom'):('b', 'k')
170:('abat', 'hakka'):('aba', 'aka'):('Nom', 'Nom'):('b', 'k')
171:('abat', 'haras'):('aba', 'aʁa'):('Nom', 'Nom'):('b', 'ʁ')
172:('ébat', 'état'):('eba', 'eta'):('Nom', 'Nom'):('b', 't')
173:('abattage', 'aboutage'):('abataʒ', 'abutaʒ'):('Nom', 'Nom'):('a', 'u')
174:('abattant', 'abattis'):('abatɑ̃', 'abati'):('Nom', 'Nom'):('ɑ̃', 'i')
175:('abattant', 'abattre'):('abatɑ̃', 'abatʁ'):('Nom', 'Verbe infinitif'):('ɑ̃', 'ʁ')
176:('abattant', 'abbattre'):('abatɑ̃', 'abatʁ'):('Nom', 'Verbe infinitif'):('ɑ̃', 'ʁ')
177:('abattant', 'habitant'):('abatɑ̃', 'abitɑ̃'):('Nom', 'Nom'):('a', 'i')
178:('ébattement', 'hébètement'):('ebatmɑ̃', 'ebɛtmɑ̃'):('Nom', 'Nom'):('a', 'ɛ')
179:('ébattement', 'hébétement'):('ebatmɑ̃', 'ebɛtmɑ̃'):('Nom', 'Nom'):('a', 'ɛ')
180:('abatteur', 'amateur'):('abatœʁ', 'amatœʁ'):('Nom', 'Nom'):('b', 'm')
181:('abattis', 'abattre'):('abati', 'abatʁ'):('Nom', 'Verbe infinitif'):('i', 'ʁ')
182:('abattis', 'abbattre'):('abati', 'abatʁ'):('Nom', 'Verbe infinitif'):('i', 'ʁ')
183:('abattre', 'ébattre'):('abatʁ', 'ebatʁ'):('Verbe infinitif', 'Verbe infinitif'):('a', 'e')
184:('abattre', 'embattre'):('abatʁ', 'ɑ̃batʁ'):('Verbe infinitif', 'Verbe infinitif'):('a', 'ɑ̃')
185:('ébattre', 'abbattre'):('ebatʁ', 'abatʁ'):('Verbe infinitif', 'Verbe infinitif'):('e', 'a')
186:('ébattre', 'embattre'):('ebatʁ', 'ɑ̃batʁ'):('Verbe infinitif', 'Verbe infinitif'):('e', 'ɑ̃')
187:('ébaubir', 'ébaudir'):('ebobiʁ', 'ebodiʁ'):('Verbe infinitif', 'Verbe infinitif'):('b', 'd')
188:('ébauchoir', 'embauchoir'):('ebɔʃwaʁ', 'ɑ̃bɔʃwaʁ'):('Nom', 'Nom'):('e', 'ɑ̃')
189:('abbé', 'able'):('abe', 'abl'):('Nom', 'Nom'):('e', 'l')
190:('abbé', 'abot'):('abe', 'abo'):('Nom', 'Nom'):('e', 'o')
191:('abbé', 'about'):('abe', 'abu'):('Nom', 'Nom'):('e', 'u')
192:('abbé', 'abus'):('abe', 'aby'):('Nom', 'Nom'):('e', 'y')
193:('abbé', 'ager'):('abe', 'aʒe'):('Nom', 'Nom'):('b', 'ʒ')
194:('abbé', 'ailler'):('abe', 'aje'):('Nom', 'Verbe infinitif'):('b', 'j')
195:('abbé', 'aller'):('abe', 'ale'):('Nom', 'Nom'):('b', 'l')
196:('abbé', 'aller'):('abe', 'ale'):('Nom', 'Verbe infinitif'):('b', 'l')
197:('abbé', 'arrher'):('abe', 'aʁe'):('Nom', 'Verbe infinitif'):('b', 'ʁ')
198:('abbé', 'assez'):('abe', 'ase'):('Nom', 'Adverbe'):('b', 's')
199:('abbé', 'athée'):('abe', 'ate'):('Nom', 'Nom'):('b', 't')
200:('abbé', 'avé'):('abe', 'ave'):('Nom', 'Nom'):('b', 'v')
201:('abbé', 'habit'):('abe', 'abi'):('Nom', 'Nom'):('e', 'i')
202:('abbé', 'hacher'):('abe', 'aʃe'):('Nom', 'Verbe infinitif'):('b', 'ʃ')
203:('abbé', 'hacker'):('abe', 'ake'):('Nom', 'Verbe infinitif'):('b', 'k')
204:('abbé', 'haler'):('abe', 'ale'):('Nom', 'Verbe infinitif'):('b', 'l')
205:('abbé', 'happer'):('abe', 'ape'):('Nom', 'Verbe infinitif'):('b', 'p')
206:('abbé', 'harer'):('abe', 'aʁe'):('Nom', 'Verbe infinitif'):('b', 'ʁ')
207:('abbé', 'haver'):('abe', 'ave'):('Nom', 'Verbe infinitif'):('b', 'v')
208:('abbatiat', 'acacia'):('abasja', 'akasja'):('Nom', 'Nom'):('b', 'k')
209:('abbattre', 'embattre'):('abatʁ', 'ɑ̃batʁ'):('Verbe infinitif', 'Verbe infinitif'):('a', 'ɑ̃')
210:('abcéder', 'accéder'):('absede', 'aksede'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
211:('abcès', 'accès'):('absɛ', 'aksɛ'):('Nom', 'Nom'):('b', 'k')
212:('abecquer', 'abeiller'):('abɛke', 'abɛje'):('Verbe infinitif', 'Nom'):('k', 'j')
213:('abecquer', 'embecquer'):('abɛke', 'ɑ̃bɛke'):('Verbe infinitif', 'Verbe infinitif'):('a', 'ɑ̃')
214:('abeiller', 'ablier'):('abɛje', 'ablje'):('Nom', 'Nom'):('ɛ', 'l')
215:('abeiller', 'allayer'):('abɛje', 'alɛje'):('Nom', 'Verbe infinitif'):('b', 'l')
216:('abeiller', 'habiller'):('abɛje', 'abije'):('Nom', 'Verbe infinitif'):('ɛ', 'i')
217:('ébergement', 'émergement'):('ebɛʁʒmɑ̃', 'emɛʁʒmɑ̃'):('Nom', 'Nom'):('b', 'm')
218:('aberger', 'éberger'):('abɛʁʒe', 'ebɛʁʒe'):('Verbe infinitif', 'Verbe infinitif'):('a', 'e')
219:('aberger', 'héberger'):('abɛʁʒe', 'ebɛʁʒe'):('Verbe infinitif', 'Verbe infinitif'):('a', 'e')
220:('éberger', 'émerger'):('ebɛʁʒe', 'emɛʁʒe'):('Verbe infinitif', 'Verbe infinitif'):('b', 'm')
221:('aber', 'abord'):('abɛʁ', 'abɔʁ'):('Nom', 'Nom'):('ɛ', 'ɔ')
222:('aber', 'amer'):('abɛʁ', 'amɛʁ'):('Nom', 'Nom'):('b', 'm')
223:('aber', 'aubère'):('abɛʁ', 'ɔbɛʁ'):('Nom', 'Nom'):('a', 'ɔ')
224:('aber', 'avers'):('abɛʁ', 'avɛʁ'):('Nom', 'Nom'):('b', 'v')
225:('aber', 'ayer'):('abɛʁ', 'ajɛʁ'):('Nom', 'Nom'):('b', 'j')
226:('aber', 'chabin'):('abɛʁ', 'ʃabɛ̃'):('Nom', 'Nom'):('ʁ', 'ɛ̃')
227:('aber', 'haubert'):('abɛʁ', 'obɛʁ'):('Nom', 'Nom'):('a', 'o')
228:('aber', 'ibère'):('abɛʁ', 'ibɛʁ'):('Nom', 'Nom'):('a', 'i')
229:('aber', 'rabbin'):('abɛʁ', 'ʁabɛ̃'):('Nom', 'Nom'):('ʁ', 'ɛ̃')
230:('aber', 'rabin'):('abɛʁ', 'ʁabɛ̃'):('Nom', 'Nom'):('ʁ', 'ɛ̃')
231:('aber', 'sabin'):('abɛʁ', 'sabɛ̃'):('Nom', 'Nom'):('ʁ', 'ɛ̃')
232:('abhorrer', 'aboler'):('abɔʁe', 'abɔle'):('Verbe infinitif', 'Verbe infinitif'):('ʁ', 'l')
233:('abhorrer', 'abonder'):('abɔʁe', 'abɔ̃de'):('Verbe infinitif', 'Verbe infinitif'):('ɔ', 'ɔ̃')
234:('abhorrer', 'aboner'):('abɔʁe', 'abɔne'):('Verbe infinitif', 'Verbe infinitif'):('ʁ', 'n')
235:('abhorrer', 'abonné'):('abɔʁe', 'abɔne'):('Verbe infinitif', 'Nom'):('ʁ', 'n')
236:('abhorrer', 'aboter'):('abɔʁe', 'abɔte'):('Verbe infinitif', 'Verbe infinitif'):('ʁ', 't')
237:('abhorrer', 'accorer'):('abɔʁe', 'akɔʁe'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
238:('abhorrer', 'adorer'):('abɔʁe', 'adɔʁe'):('Verbe infinitif', 'Verbe infinitif'):('b', 'd')
239:('abhorrer', 'afforer'):('abɔʁe', 'afɔʁe'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
240:('abies', 'abyssin'):('abiɛs', 'abisɛ̃'):('Nom', 'Nom'):('s', 'ɛ̃')
241:('abimer', 'abisser'):('abime', 'abise'):('Verbe infinitif', 'Verbe infinitif'):('m', 's')
242:('abimer', 'anime'):('abime', 'anime'):('Verbe infinitif', 'Nom'):('b', 'n')
243:('abimer', 'animer'):('abime', 'anime'):('Verbe infinitif', 'Verbe infinitif'):('b', 'n')
244:('abimer', 'arrimer'):('abime', 'aʁime'):('Verbe infinitif', 'Verbe infinitif'):('b', 'ʁ')
245:('abimer', 'habiller'):('abime', 'abije'):('Verbe infinitif', 'Verbe infinitif'):('m', 'j')
246:('abimer', 'habiter'):('abime', 'abite'):('Verbe infinitif', 'Verbe infinitif'):('m', 't')
247:('abisser', 'abyssin'):('abise', 'abisɛ̃'):('Verbe infinitif', 'Nom'):('e', 'ɛ̃')
248:('abisser', 'habiller'):('abise', 'abije'):('Verbe infinitif', 'Verbe infinitif'):('s', 'j')
249:('abisser', 'habiter'):('abise', 'abite'):('Verbe infinitif', 'Verbe infinitif'):('s', 't')
250:('ablater', 'aplater'):('ablate', 'aplate'):('Verbe infinitif', 'Verbe infinitif'):('b', 'p')
251:('able', 'abot'):('abl', 'abo'):('Nom', 'Nom'):('l', 'o')
252:('able', 'about'):('abl', 'abu'):('Nom', 'Nom'):('l', 'u')
253:('able', 'abus'):('abl', 'aby'):('Nom', 'Nom'):('l', 'y')
254:('able', 'amble'):('abl', 'ɑ̃bl'):('Nom', 'Nom'):('a', 'ɑ̃')
255:('able', 'habit'):('abl', 'abi'):('Nom', 'Nom'):('l', 'i')
256:('able', 'harle'):('abl', 'aʁl'):('Nom', 'Nom'):('b', 'ʁ')
257:('able', 'omble'):('abl', 'ɔ̃bl'):('Nom', 'Nom'):('a', 'ɔ̃')
258:('ablier', 'habiller'):('ablje', 'abije'):('Nom', 'Verbe infinitif'):('l', 'i')
259:('abloc', 'chablon'):('ablɔk', 'ʃablɔ̃'):('Nom', 'Nom'):('k', 'ɔ̃')
260:('abloc', 'sablon'):('ablɔk', 'sablɔ̃'):('Nom', 'Nom'):('k', 'ɔ̃')
261:('abobo', 'adobo'):('abobo', 'adobo'):('Nom', 'Nom'):('b', 'd')
262:('aboi', 'aloi'):('abwa', 'alwa'):('Nom', 'Nom'):('b', 'l')
263:('aboler', 'abonder'):('abɔle', 'abɔ̃de'):('Verbe infinitif', 'Verbe infinitif'):('ɔ', 'ɔ̃')
264:('aboler', 'aboner'):('abɔle', 'abɔne'):('Verbe infinitif', 'Verbe infinitif'):('l', 'n')
265:('aboler', 'abonné'):('abɔle', 'abɔne'):('Verbe infinitif', 'Nom'):('l', 'n')
266:('aboler', 'aboter'):('abɔle', 'abɔte'):('Verbe infinitif', 'Verbe infinitif'):('l', 't')
267:('aboler', 'accoler'):('abɔle', 'akɔle'):('Verbe infinitif', 'Verbe infinitif'):('b', 'k')
268:('aboler', 'affoler'):('abɔle', 'afɔle'):('Verbe infinitif', 'Verbe infinitif'):('b', 'f')
269:('aboler', 'assoler'):('abɔle', 'asɔle'):('Verbe infinitif', 'Verbe infinitif'):('b', 's')
